genre_primary,budget_band,decade,language_group,vote_average,franchise,actor_success_rate_train,director_success_rate_train,actor_appearances_log1p,director_appearances_log1p,year,success_label
Unknown,Low,2020s,Non-English,7.298,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,6.8,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,7.5,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,5.535,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,6.02,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,5.966,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Mid,2020s,English,6.346,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,5.72,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,6.7,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,6.525,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,7.145,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,6.714,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,6.989,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,7.026,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,6.543,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,10.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,5.5,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,8.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,1
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2023,0
Unknown,Low,2020s,Non-English,0.0,0,0.4043887147335423,0.4043887147335423,5.768320995793772,5.768320995793772,2022,0
